id,Title,Location,Company,Salary,Date,Description
,Web Developer - Woo Commerce,"Toronto, ON",Clermont Ventures,$25 - $30 an hour,5 days ago,"Local digital agency looking for an expert web developer who has expertise working with WooCommerce/WP/PHP as well as with Web hooked based APIs. We are trying to fill the role on a contract basis ASAP, which will eventually lead to a full-time role.Job Types: Full-time, Part-time, Temporary, Contract, FreelanceSalary: $25.00 to $30.00 /hourExperience:Web Development: 5 years (Required)WooCommerce : 5 years (Preferred)REST API: 3 years (Preferred)Education:Bachelor's Degree (Preferred)"
,Guidewire Developer,"Cambridge, ON",eStaff Agency Toronto,NA,4 days ago,"About Us:Our organization has experienced phenomenal growth and thrives on an entrepreneurial spirit, passion, and top-tier talent. We believe in innovation and in measuring success through results and growing within; talent and hard work never goes unnoticed, and we succeed together.Job Requirements:The candidate must have proven Guidewire Development experience and experience in working on an agile project team.* Experience with Guidewire PolicyCenter and/or BillingCenter application development experience OR Previous experience of working on P&C policy admin systems* Good Java server-side programming experience with strong understanding of object-oriented design and programmingPerks:Competitive payCasual dress codeWe thank all applications for showing an interest in this position. Only those selected for an interview will be contacted. No agencies or phone calls.Job Types: 6-12monthsTop Bank in CanadaCambridge, ONExperience:Guidewire: Minimum 2 years experienceJava: Minimum 3 years of experience---- CANDIDATE MUST BE ABLE TO WORK IN CANADA - PR or CITIZEN ONLY ----Job Types: Full-time, ContractJob Types: Full-time, ContractExperience:Java Programming: 3 years (Required)Guidewire: 2 years (Required)"
,AngularJS Developer,"Toronto, ON",eStaff Agency Toronto,NA,17 days ago,"About Us:Our organization has experienced phenomenal growth and thrives on an entrepreneurial spirit, passion, and top-tier talent. We believe in innovation and in measuring success through results and growing within; talent and hard work never goes unnoticed, and we succeed together.Responsibilities:Design and develop scalable, responsive web applications for both customer-facing and company-facing applications.Manage changes and test.Write efficient, reliable and robust code.Effectively contribute to the specification, design, build and test phases of development.Receive feedback and work with stakeholders to continuously improve the applications.Job RequirementsThe candidate must have proven JAVA/J2EE development experience and experience in working on an agile project team.AngularJS - MINIMUM 3 YEARS IS A MUSTScripting (Javascript, JQuery, Maven)Development (J2EE and Web Services)SpringApplications Servers (Jboss, Tomcat, Websphere)Databases (Oracle, SQL)Web Services (HTTP, XML, REST, SOAP, WSDL, UDDI)HibernateJenkinsGIT, Stash, JIRAContinuous Integration and Test Driven MethodologiesOperating Systems (AIX, Linux)***Bonus points if you know: React JS & Strongloop ***Perks:Competitive payCasual dress codeWe thank all applications for showing an interest in this position. Only those selected for an interview will be contacted. No agencies or phone calls.Job Types: 6 months initial contractTop Bank in CanadaToronto - MississaugaExperience:Software development: 3-5 yearsJava: 3-5 years---- CANDIDATE MUST BE ABLE TO WORK IN CANADA - PR or CITIZEN ONLY ----Job Types: Full-time, ContractExperience:AngularJS: 3 years (Required)Education:Bachelor's Degree (Required)"
,Junior Software Developer,"Halifax, NS",FoodByte,"$3,618 a month",12 days ago,"About FoodByte:Is the food you eat safe? Odds are you don't know and the food processor you bought it from does not know either. The majority of food processors don't have an effective food safety program in place, so why are they allowed to sell you food?FoodByte is changing the world by helping make food safer. FoodByte is an early stage high growth software as a service (SaaS) company, specializing in productivity and management tools for food processors. We remove the barriers to obtaining and maintaining a proper food safety program, specifically knowledge, time, and money.Our clients are SME food processors looking to increase their food safety standards to meet the requirements of the federal government or retailers. Every day, the demand for food safety programs is increasing. Food processors need food safety plans, and they need them yesterday, luckily, we're the fastest way to develop a plan.Job Summary:We are looking for a hard working developer that is not afraid of a good challenge. We are confident in our product, but now need a developer to help expand our current features. We are looking for someone who can help shape the early vision of FoodByte. Someone confident in their abilities, highly motivated and willing to see things through to the end. Someone who enjoys a good challenge with the promise of high rewards.Role Description:Having a willingness to learn and expand knowledge is a must. A background developing with python or Django is a plus but not required. Having a background working with startups is a plus. An average day will see you developing new features, bug fixing and planning new features to develop. This role provides flexibility, opportunities for personal growth and career advancement.Duties and Responsibilities:Developing softwareWork closely with the leadership team and provide regular feedback and advice on the development processParticipating in regular team meetings.Developing test cases and testing code to a known standardPerform any other work-related duties and responsibilities that may be assigned by executives.Contribute to building a teamwork environment to motivate and inspire other members within the company, work collaboratively toward vision and goal.Skills & Qualifications:Bachelor of Computer Science (BCS)Hard working and highly motivated.Excellent communication skills, and strong time-management.Experience some or all:Python 3.7 & 2.7Django 2.0 / 3.0Django Rest FrameworkReact NativeHTML 5 / CSS 3JavaScript ES6AJAX / JSONPostgres 8+GitBashDockerNot afraid to pioneer new ideasExcellent planning and organizing skills.Work scheduled:Full-timeSalary & Location:30k over next 8 months, (No Risk Trial Period to Start can continue past 8 months)Working Conditions:Office or remote environment.Independence.Frequent pressure to meet deadlines.FoodByte provides flexibility, opportunities for personal growth and career advancement.Although the ideal candidate will commit to full-time, a part-time candidate may be consideredBenefits:Casual dressVacation & paid time offReference ID: JuniorDevPart-time hours: 40 per weekJob Types: Full-time, Part-time, Temporary, PermanentSalary: $3,617.82 /monthExperience:Software Development: 1 year (Preferred)"
,Lotus notes developer,"Toronto, ON",CommonOffice.org,$20 an hour,5 days ago,"Currently seeking 1 Lotus Notes Domino with the following skills for a 12 month contract opportunity:Minimum 1 years of demonstrated experience and knowledge in the development, design, testing, deployment, implementation and support of mid to large-sized Lotus Notes Domino software1+ years of CSS , Google Material design , Xpages , mobile html51+ Lotus script and xml languageExperience developing Human Resource modules, prototyping, web resources, plug-ins, user interfaces, workflows, client extensions, dashboards and reportsResponsibilities include:Develop and update HR applications on a variety of platforms and frameworksWork directly with business groups, analyze and define business needs to create Human resource application, design, prototype, build, debug and roll out custom solutions to automate or semi-automate selected business procedures and processes.Analyze systems and applications and make recommendations to improve availability, stability, efficiency, and security.Maintain security for business application systems and develop appropriate documentationDevelop highly available information systemsProvide ongoing technical expertise and training to staff for Business Application systems.Document processes and maintain up-to-date documentation in a central repository.Coordinate rollout and deployment of changes, perform key deployment activities.Benefits:Work from home opportunitiesFlexible working hoursJob Types: Part-time, ContractSalary: $20.00 /hourExperience:Lotus Notes: 1 year (Preferred)"
,Software Developer (Mobile) - New Grad,"Mississauga, ON",Intuit,NA,4 days ago,"About Intuit, Inc.At Intuit, we get up every morning with our hearts beating fast, driven by the knowledge that we're transforming the world of consumer and small business finance. We’re obsessed with our customers. Because of this, we’re continually challenging and disrupting ourselves, to improve their financial lives. It’s why our products — TurboTax, Mint and QuickBooks — continue to resonate with 50 million consumers around the globe. We are a Fortune 500 fintech company, ranked as the #1 Best Workplace in Canada in 2019.Who you areYou are an excellent Software Engineer with a passion for beautiful code. You’re a lover of learning, teamwork and having fun during the work day. You are ready to solve seriously real problems through agile and experiment-driven development."
,SQL REPORT DEVELOPER-DECISION SUPPORT,"Kitchener, ON",St. Mary’s General Hospital,$36.22 - $45.85 an hour,6 days ago,"Work Type: Full TimeFor more than 90 years St. Mary’s General Hospital has fostered a culture of innovation, compassion and respect. With this vision, St. Mary’s has developed an environment that inspires people to perform to the best of their ability. Passion, excellence and innovation are deeply embedded in all we do. St. Mary’s uses these principles to foster a healthy, supportive work environment that cares for the well-being of our community - mind, body and spirit. When you join St. Mary’s, your contribution will make a positive impact to the quality of life for patients and families. In addition, you will join a team dedicated to making St. Mary’s the safest and most effective hospital in Canada.New employees must provide documentation of a 2-step TB screening, as well as proof of immunity to measles, mumps, rubella, and varicella (chickenpox) prior to their start date at St. Mary’s General Hospital. Staff will require clearance from Employee Health and Wellness before they are able to begin any position within SMGH.Position Summary:Reporting to the BI Reporting & Analytics Supervisor, the SQL Developer will be responsible for the identification of business intelligence, reporting, and data analysis needs as well as the design and implementation of technical solutions. They will work closely with clinical, corporate, and IT teams to turn data into critical information, knowledge and insight that can be used to make informed decisions.Position Responsibilities:Managing, maintaining, and understanding system delivered Cerner and Infor ReportsBuilding custom clinical, regulatory, end user-defined, and ad hoc reports using Discern Analytics 2 (DA2), SAP Business Objects (BO), Cerner Command Language (CCL), Crystal Reports, SQL Server Reporting Services (SSRS), and other tools as necessary.Design and support process automation in Infor using IPACollaborate in the gathering of requirements from end users, and translating those requirements into functional/technical design of reports or IPAsValidate the quality and integrity of the data included in all reporting and IPAsAct as subject matter expert on reporting and main data sources and provide technical support to the end userPosition Requirements:Bachelors Degree ProgramIn-depth experience using Cerner reporting tools (DA2, CCL, SAP BO, etc)In-depth experience using Microsoft BI Tools (SSRS and SSIS) and Office (Access, Excel, Outlook, Word)In-depth knowledge of Microsoft SQL Servers developing complex transact queries including high performance stored procedures, functions, triggers and views.Experience of complete software development life cycle from requirements to design, implementation, testing and release.Experience building cubes and reports for OLAP/Dimensional Modeling capabilities.Knowledge of data warehousing practices including dimensional modeling.Excellent written and oral communication skills with ability to clearly define projects, objectives, goals, assignments, etc.Strong analytical skills, attention to detail, interpersonal and organization skills.SMGH fosters a culture of inclusiveness, patient and staff safety. All reasonable accommodations will be made for this position.Application Instructions:*As per the collective agreement, the internal recruitment process will be completed prior to the consideration of external applications.Accommodations are available during all stages of the recruitment process in accordance with the Human Rights Code. SMGH requires all new hires to submit a valid Criminal Record Check that may include a Vulnerable Sector Screen prior to start date.SMGH is committed to complying with the Accessibility for Ontarians with Disabilities Act (AODA) to provide an inclusive, barrier free workplace. We will accommodate the accessibility needs of individuals with disabilities to support participation in all aspects of the recruitment process. Should you require this accommodation, please contact the HR Administrator.We would like to thank all candidates in advance for their interest and only those candidates selected for an interview will be contacted. Due to the volume of applications we receive, we are unable to confirm the receipt of individual applications or resumes."
,Software Developer (Entry Level),"Toronto, ON",Konrad,NA,17 days ago,"Konrad GroupKonrad Group is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.Software Developer (Entry Level)As an entry level Software Developer you'll be tasked with working on both mobile and web applications. Working within the software development team, your duties will require you to assist in the development of consumer and enterprise applications. This role is ideal for entry level developers who feel confident in their technical ability and want to be apart of the highly-skilled development team at Konrad Group.ResponsibilitiesWrite maintainable, testable, and performant software in collaboration with our world class teamParticipate in code review and performing extensive testing to ensure high quality softwareResearch new technology and tools and share those findings with the teamCommunicate clearly and effectively with all members of our teamSuccessful candidates will haveGraduated from a Computer Science, Software Engineering, or similar programExperience creating either web or native mobile applicationsExperience programming in Java, Swift, or JavaScriptStrong command of important programming and computer science conceptsFundamental knowledge of core web principals (HTTP, the DOM, SSL, web servers)Great interpersonal skills - we work very closely together as a team and require a lot of communicationProactive personality and a desire to deliver your best workPerks and BenefitsMentorship ProgramFlexible Vacation PolicyHealth & Wellness ProgramsCulture of Learning & DevelopmentFully-Stocked Kitchens & LoungesNew Shiny Device UpgradesMonthly Socials & Team OutingsBonus Points: Have you taken any courses at BrainStation ( https://brainstation.io/ )? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!Konrad Group is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted"
,Software Developer (Co-op),"Toronto, ON",University Health Network,$20 an hour,18 days ago,"Job Summary:We are looking for a co-op student whose expertise intersects programming and IoT applications. The co-op will work with a multidisciplinary team of internationally recognized researchers including biomedical engineers, electrical engineers and software developers to provide new technologies for homecare.Work will involve designing a graphical user interface for sensory data visualization, data collection, data analysis, and dissemination of results (e.g., papers and conferences). The candidate will also work closely with hardware engineers and software developers from industry.Job Responsibilities:Help in designing the back-end and front-end platformHelp in designing a graphical user interface for a real time sensor data stream visualizationIntegrate, maintain, and contribute to 3rd party devices and open source programs and APIsHelp in designing and developing tools that summarize and visualize data to drive data use in algorithm research and developmentProduce well-written documentation and technical reportsWorking with multi-disciplinary team of Engineers and Technologists from industry to provide technical support.Required Skills:Knowledge of C#, SQL and JavaScript (JS)Write high quality and well-documented codesExcellent communication skills - both written and oralUsing Git as version controlExperience interacting with a REST APIContract length: 4 monthsJob Types: Full-time, InternshipSalary: $20.00 /hourExperience:Computer Programming: 1 year (Preferred)c++: 1 year (Preferred)"
,Software Developer Intern,"Toronto, ON",Konrad,NA,17 days ago,"Konrad GroupKonrad Group is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.Software Developer InternAs a Software Developer Intern you'll be paired up with a mentor working on both the front end and back end of our web or mobile applications. Working within the software development team, your duties will require you to assist in the development of consumer and enterprise applications. This role is ideal for entry level developers who feel confident in their technical ability and want to contribute to and learn from the highly-skilled development team at Konrad Group for the duration of their internship.ResponsibilitiesWrite maintainable, testable, and performant software in collaboration with our world class teamParticipate in code review and performing extensive testing to ensure high quality softwareResearch new technology and tools and share those findings with the teamCommunicate clearly and effectively with all members of our teamSuccessful candidates will haveStarted and currently be enrolled in a Computer Science, Software Engineering, or similar program in a University or CollegeStrong command of important core programming and computer science conceptsFundamental knowledge of core web principals (HTTP, browsers, the DOM, SSL, web servers)Good understanding & experience in HTML/CSS/JavaScript or native Android/iOS developmentGreat interpersonal skills - we work very closely together as a team and require a lot of communicationProactive personality, and a desire to deliver your best workA love for improving software development workflows/processPerks and BenefitsFlexible Vacation PolicyHealth & Wellness ProgramsCulture of Learning & DevelopmentFully-Stocked Kitchens & LoungesNew Shiny Device UpgradesMonthly Socials & Team OutingsBonus Points: Have you taken any courses at BrainStation ( https://brainstation.io/ )? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!Konrad Group is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted."
